"","RT_or_not","t_hash","t_mention","t_sentiment","V5","V6","V7","t_link"
"590",0,3,0,2,0,0,1,2
"591",0,3,0,2,0,0,0,2
"592",0,3,0,2,0,0,2,2
"593",0,3,0,2,0,0,1,2
"594",0,3,0,1,0,0,2,2
"595",0,3,0,3,0,0,1,2
"596",0,3,0,2,0,0,2,2
"597",0,3,0,2,0,0,0,2
"598",0,3,0,2,0,0,3,2
"599",0,3,0,1,0,0,0,2
"600",0,3,0,2,0,0,0,2
"601",0,3,0,2,0,0,3,2
"602",0,3,0,3,0,0,2,2
"603",1,2,3,3,0,1,1,1
"604",1,5,1,1,0,0,0,2
"605",0,1,0,1,0,0,2,1
"606",0,3,0,3,0,0,2,2
"607",0,1,0,3,0,0,0,0
"608",0,3,0,3,0,0,0,2
"609",0,3,0,2,0,1,2,2
"610",0,3,0,3,0,0,2,2
"611",0,3,0,2,0,0,1,2
"612",0,3,0,3,0,0,1,2
"613",1,3,1,2,0,0,1,1
"614",0,3,0,1,0,0,1,2
"615",0,1,0,2,0,0,2,1
"616",0,3,1,3,0,0,0,1
"617",0,3,0,2,0,0,2,2
"618",0,3,0,2,0,0,1,2
"619",0,3,0,2,0,0,1,2
"620",0,3,0,2,0,0,2,2
"621",0,3,0,3,0,0,0,2
"622",0,3,0,2,0,0,0,2
"623",0,3,0,1,0,0,2,2
"624",0,3,0,2,0,0,3,2
"625",1,3,3,2,0,0,0,1
"626",0,3,0,2,0,0,0,2
"627",0,3,0,2,0,0,0,2
"628",0,3,0,2,0,1,0,2
"629",0,3,0,2,0,1,0,2
"630",0,3,0,2,0,0,0,2
"631",0,3,0,3,0,0,1,2
"632",0,3,0,3,0,0,1,2
"633",0,3,0,2,0,0,2,2
"634",0,3,0,3,0,0,1,2
"635",0,3,0,3,0,0,2,2
"636",0,6,0,3,0,0,0,1
"637",0,4,0,2,0,0,2,0
"638",1,6,1,2,0,0,1,1
"639",1,3,1,2,0,0,1,2
"640",0,3,1,3,0,0,1,1
"641",0,4,0,2,0,1,1,1
"642",0,3,0,2,0,0,2,1
"643",0,3,0,2,0,0,1,2
"644",0,3,0,2,0,0,2,2
"645",0,3,0,2,0,0,2,2
"646",0,3,0,2,0,0,0,2
"647",0,3,0,3,0,0,0,2
"648",0,1,0,2,0,0,3,1
"649",0,3,0,2,0,1,2,2
"650",1,3,1,2,0,0,2,2
"651",0,3,0,2,0,0,0,2
"652",0,3,0,3,0,0,0,2
"653",0,5,0,2,0,0,0,2
"654",0,3,0,2,0,0,2,1
"655",0,3,0,3,0,0,6,1
"656",0,3,0,3,0,0,2,1
"657",0,3,0,3,0,0,3,1
"658",0,3,0,3,0,0,3,1
"659",0,3,0,2,0,0,2,2
"660",0,1,0,2,0,0,3,1
"661",0,3,0,2,0,0,2,2
"662",0,1,0,2,0,0,2,1
"663",0,3,0,2,0,0,0,2
"664",0,3,0,2,0,1,1,2
"665",0,2,0,2,0,0,1,1
"666",0,1,0,2,0,0,0,1
"667",0,5,0,2,0,0,0,1
"668",0,2,0,2,0,0,3,1
"669",0,1,0,2,0,1,0,0
"670",0,6,0,2,0,0,0,1
"671",0,3,0,3,0,0,2,2
"672",0,3,0,2,0,0,0,2
"673",1,5,1,3,0,0,2,2
"674",0,2,0,1,0,0,1,2
"675",0,3,0,2,0,0,0,2
"676",0,3,0,2,0,0,0,2
"677",0,3,0,2,0,0,0,2
"678",0,3,0,2,0,0,0,2
"679",0,3,0,2,0,0,0,2
"680",0,3,0,2,0,0,0,2
"681",0,3,0,2,0,0,0,2
"682",0,3,0,2,0,0,0,2
"683",0,6,0,3,0,0,1,1
"684",0,6,0,2,0,0,0,1
"685",1,2,1,2,0,0,0,2
"686",0,2,0,2,1,0,2,1
"687",0,2,0,2,0,0,0,1
"688",1,3,1,2,0,0,2,2
"689",0,4,0,2,0,0,3,1
"690",0,2,0,2,0,0,1,1
"691",0,4,0,2,0,0,3,1
"692",0,2,0,2,0,0,2,1
"693",0,2,0,2,0,0,0,1
"694",0,3,0,2,1,0,3,1
"695",0,2,0,2,0,0,3,1
"696",0,1,0,1,0,1,2,1
"697",0,1,0,3,0,0,1,2
"698",0,5,1,2,0,0,0,1
"699",0,1,0,1,0,0,1,0
"700",0,1,0,2,0,0,0,1
"701",0,4,0,2,0,0,0,1
"702",0,3,0,2,0,1,0,2
"703",0,3,0,2,0,0,2,2
"704",0,3,0,2,0,1,0,2
"705",0,3,0,1,0,0,1,2
"706",0,7,0,3,1,0,0,1
"707",1,5,1,3,0,0,2,2
"708",0,3,0,2,0,0,2,1
"709",1,1,1,1,0,0,2,1
"710",0,2,1,3,0,0,0,1
"711",0,7,0,2,0,0,0,1
"712",0,7,0,2,0,0,0,2
"713",1,6,1,2,0,0,1,1
"714",0,8,0,2,0,0,0,1
"715",1,3,1,3,0,0,1,2
"716",0,6,0,2,0,0,1,0
"717",0,2,0,2,1,0,0,1
"718",0,2,0,1,0,0,1,2
"719",0,2,0,2,0,0,1,1
"720",0,4,0,1,1,0,0,1
"721",0,4,0,2,0,0,1,1
"722",0,4,0,2,0,0,1,1
"723",0,4,0,2,0,0,3,1
"724",0,4,0,2,0,0,1,1
"725",0,4,0,2,0,0,1,1
"726",0,4,0,2,0,0,0,1
